p,h_avg,h_max,n_avg,n_max,t_avg,t_max,total_singleton
3,0.6666666666666666,2,1,2,0,0,0
2,0,0,1,2,0,0,0
7,1.7142857142857142,4,1.4285714285714286,3,0,0,0
11,1.8181818181818181,4,1.6363636363636365,3,2,1,2
13,1.3846153846153846,4,2.3076923076923075,6,2,1,2
5,0.8,2,1.6,3,0,0,0
19,2.1052631578947367,5,1.894736842105263,7,1.4545454545454546,3,9
17,2.2941176470588234,6,2.235294117647059,6,1.25,2,11
23,2.782608695652174,9,2.217391304347826,5,1.2,2,14
31,2.838709677419355,8,3.096774193548387,8,1.25,2,20
43,3.5348837209302326,12,3.4651162790697674,10,1.2058823529411764,3,30
41,2.902439024390244,9,2.8048780487804876,9,1.3448275862068966,3,23
29,2.4482758620689653,9,3.206896551724138,11,1.2380952380952381,2,18
47,3.6595744680851063,12,3.0851063829787235,12,1.2352941176470589,3,30
37,3.054054054054054,11,3.3513513513513513,9,1.25,3,24
53,3.3773584905660377,12,2.849056603773585,12,1.1923076923076923,2,23
67,4.91044776119403,21,3.582089552238806,15,1.1428571428571428,1,8
79,4.886075949367089,18,4.30379746835443,16,1.1538461538461537,2,35
61,3.540983606557377,15,4.540983606557377,15,1.1,2,20
73,4.972602739726027,18,4.657534246575342,18,1.2045454545454546,3,38
71,4.633802816901408,15,4.323943661971831,16,1.2272727272727273,2,36
97,5.484536082474227,17,5.020618556701031,20,1.208955223880597,2,55
83,4.192771084337349,20,4.734939759036145,22,1.1929824561403508,3,50
59,3.440677966101695,13,4.135593220338983,15,1.16,2,23
89,5.955056179775281,22,5.202247191011236,22,1.1355932203389831,3,54
103,4.631067961165049,19,4.766990291262136,16,1.2280701754385965,3,47
101,4.900990099009901,24,5.247524752475248,25,1.2131147540983607,3,53
107,5.074766355140187,17,5.831775700934579,22,1.1566265060240963,3,73
127,6.692913385826771,26,6.283464566929134,22,1.1285714285714286,2,63
113,5.876106194690266,21,4.663716814159292,17,1.3142857142857143,3,53
139,5.9496402877697845,28,6.071942446043166,25,1.0952380952380953,2,21
137,5.605839416058394,25,5.313868613138686,24,1.1304347826086956,2,42
151,6.490066225165563,29,6.503311258278146,24,0,0,0
131,6.282442748091603,26,5.702290076335878,28,1.1702127659574468,3,42
109,5.926605504587156,32,5.8807339449541285,22,1.1518987341772151,3,84
