p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
3,1,2,1,2,1,1,1,0
2,1,2,0.5,1,1,1,1,0
5,1.6,3,1,2,1,1,1,0
13,2.3846153846153846,6,1.8461538461538463,5,2,2,0.8461538461538461,1
11,2.090909090909091,5,1.9090909090909092,4,2,2,0.8181818181818182,1
7,1.4285714285714286,3,1.8571428571428572,4,1,1,1,0
17,2.5294117647058822,6,2.764705882352941,6,2.5,3,0.7058823529411765,2
23,2.782608695652174,5,3.1739130434782608,9,2.2,3,0.5217391304347826,5
19,2.6315789473684212,7,2.6315789473684212,5,2.5,3,0.7368421052631579,2
37,3.891891891891892,9,3.5945945945945947,11,2.3333333333333335,4,0.6216216216216216,6
31,3.903225806451613,8,3.3548387096774195,8,2,2,0.6129032258064516,6
29,3.7586206896551726,11,3,9,2.2,3,0.6206896551724138,5
41,3.8536585365853657,11,3.6341463414634148,9,2.2857142857142856,3,0.6097560975609756,7
43,4.023255813953488,10,3.953488372093023,12,2.5,3,0.6511627906976745,6
47,4.170212765957447,12,4.468085106382978,12,2.5,3,0.6808510638297872,6
67,4.388059701492537,15,5.746268656716418,21,2.4545454545454546,4,0.5970149253731343,11
53,3.6037735849056602,12,4.886792452830188,12,2.75,4,0.5849056603773585,8
61,4.983606557377049,15,4.098360655737705,15,2.1,3,0.6557377049180327,10
59,4.983050847457627,15,4.186440677966102,13,2.3636363636363638,3,0.559322033898305,11
73,5.164383561643835,18,6.027397260273973,19,2.1666666666666665,3,0.6438356164383562,12
71,5.140845070422535,16,5.563380281690141,15,2.230769230769231,3,0.5915492957746479,13
83,5.566265060240964,22,5.409638554216867,20,2.3333333333333335,4,0.6626506024096386,12
79,4.936708860759493,16,5.987341772151899,18,2.4545454545454546,4,0.6582278481012658,11
89,6.280898876404494,22,6.696629213483146,22,2.090909090909091,3,0.7415730337078652,11
97,5.824742268041237,20,6.628865979381444,18,2.25,3,0.5360824742268041,20
107,6.514018691588785,22,6.102803738317757,21,2.5,5,0.719626168224299,12
103,6.194174757281553,17,5.922330097087379,22,2.2222222222222223,3,0.6116504854368932,18
101,6.316831683168317,25,6,24,2.5714285714285716,5,0.6435643564356436,14
109,6.431192660550459,22,6.752293577981652,32,2.076923076923077,3,0.7522935779816514,13
127,7.125984251968504,22,7.330708661417323,26,2,2,0.7165354330708661,18
113,6.1946902654867255,24,7.20353982300885,21,2.1739130434782608,3,0.5575221238938053,23
131,6.778625954198473,28,7.572519083969466,26,2.210526315789474,3,0.6793893129770993,19
137,6.781021897810219,24,7.029197080291971,25,2.3214285714285716,5,0.5255474452554745,28
139,7.244604316546763,25,7.388489208633094,28,2.2,3,0.60431654676259,25
151,7.529801324503311,24,7.529801324503311,29,2.259259259259259,4,0.5960264900662252,27
149,7.859060402684563,27,7.395973154362416,24,2.1785714285714284,3,0.5906040268456376,28
163,7.423312883435583,32,7.429447852760736,32,2.4242424242424243,4,0.50920245398773,33
157,8.312101910828025,32,7.369426751592357,25,2.206896551724138,4,0.5923566878980892,29
173,8.271676300578035,28,7.595375722543353,39,2.5,5,0.653179190751445,24
167,7.532934131736527,29,8.2874251497006,28,2.3333333333333335,4,0.6227544910179641,27
